entrantId,positionOrder,positionText,time,laps
7312,1,1,66187,5
7283,2,2,66236,9
7297,3,3,66548,9
7293,4,4,66569,10
7294,5,5,66611,10
7296,6,6,66629,9
7314,7,7,66653,10
7306,8,8,66704,10
7299,9,9,66723,9
7291,10,10,66840,10
7290,11,11,66873,10
7303,12,12,66892,10
7309,13,13,66896,10
7284,14,14,66924,9
7311,15,15,67061,10
7288,16,16,67062,9
7300,17,17,67106,10
7313,18,18,67282,9
7287,19,19,67291,9
7302,20,20,67426,10
