eventId,entrantId,positionOrder,positionText,laps,time
2004-1,6629,1,1,13,85093
2004-1,6631,2,2,9,85255
2004-1,6632,3,3,9,85628
2004-1,6630,4,4,12,85649
2004-1,6636,5,5,11,85908
2004-1,6644,6,6,14,85916
2004-1,6635,7,7,9,85927
2004-1,6641,8,8,11,86066
2004-1,6634,9,9,8,86127
2004-1,6633,10,10,11,86133
2004-1,6637,11,11,14,86403
2004-1,6643,12,12,17,86597
2004-1,6642,13,13,14,87088
2004-1,6640,14,14,13,87172
2004-1,6639,15,15,12,87195
2004-1,6638,16,16,9,87592
2004-1,6645,17,17,14,87755
2004-1,6646,18,18,12,88825
2004-1,6647,19,19,16,90496
2004-1,6648,20,20,13,91763
2004-2,6629,1,1,11,93526
2004-2,6631,2,2,8,93563
2004-2,6632,3,3,8,93973
2004-2,6635,4,4,12,94041
2004-2,6630,5,5,9,94061
2004-2,6637,6,6,13,94128
2004-2,6634,7,7,10,94163
2004-2,6633,8,8,10,94181
2004-2,6636,9,9,10,94194
2004-2,6641,10,10,12,94381
2004-2,6644,11,11,16,94929
2004-2,6640,12,12,5,94943
2004-2,6642,13,13,16,94953
2004-2,6639,14,14,10,95036
2004-2,6638,15,15,13,95144
2004-2,6643,16,16,15,95441
2004-2,6645,17,17,11,96607
2004-2,6646,18,18,12,98059
2004-2,6647,19,19,13,98554
2004-2,6648,20,20,13,99893
2004-3,6637,1,1,14,89552
2004-3,6632,2,2,9,89690
2004-3,6631,3,3,13,89696
2004-3,6638,4,4,19,90239
2004-3,6629,5,5,11,90407
2004-3,6635,6,6,10,90472
2004-3,6643,7,7,12,90499
2004-3,6630,8,8,11,90513
2004-3,6636,9,9,12,90774
2004-3,6644,10,10,13,90934
2004-3,6634,11,11,9,91320
2004-3,6642,12,12,12,91331
2004-3,6641,13,13,12,91384
2004-3,6639,14,14,11,92433
2004-3,6640,15,15,12,92557
2004-3,6645,16,16,12,92816
2004-3,6646,17,17,7,93342
2004-3,6647,18,18,11,94590
2004-3,6648,19,19,7,95901
2004-3,6633,20,20,4,
2004-4,6629,1,1,7,80125
2004-4,6637,2,2,15,80150
2004-4,6636,3,3,13,80844
2004-4,6633,4,4,10,80844
2004-4,6631,5,5,7,80975
2004-4,6630,6,6,10,80996
2004-4,6638,7,7,14,81159
2004-4,6635,8,8,12,81198
2004-4,6634,9,9,14,81199
2004-4,6643,10,10,13,81257
2004-4,6632,11,11,10,81271
2004-4,6644,12,12,12,81296
2004-4,6641,13,13,16,81393
2004-4,6639,14,14,10,82022
2004-4,6640,15,15,8,82077
2004-4,6642,16,16,8,83222
2004-4,6645,17,17,13,83551
2004-4,6646,18,18,7,84736
2004-4,6647,19,19,10,86199
2004-4,6648,20,20,13,87451
2004-5,6638,1,1,13,74836
2004-5,6629,2,2,11,75025
2004-5,6631,3,3,13,75232
2004-5,6635,4,4,15,75457
2004-5,6630,5,5,12,75540
2004-5,6637,6,6,11,75627
2004-5,6633,7,7,13,75768
2004-5,6636,8,8,12,75874
2004-5,6641,9,9,24,75895
2004-5,6643,10,10,18,75895
2004-5,6634,11,11,7,75983
2004-5,6632,12,12,17,76308
2004-5,6642,13,13,24,76648
2004-5,6645,14,14,12,76746
2004-5,6639,15,15,12,77145
2004-5,6640,16,16,6,77282
2004-5,6646,17,17,14,77665
2004-5,6644,18,18,5,78392
2004-5,6648,19,19,10,80449
2004-5,6647,20,20,6,81005
2004-6,6629,1,1,16,74014
2004-6,6635,2,2,19,74016
2004-6,6638,3,3,22,74020
2004-6,6636,4,4,16,74138
2004-6,6631,5,5,12,74212
2004-6,6637,6,6,15,74646
2004-6,6633,7,7,13,74670
2004-6,6632,8,8,15,74752
2004-6,6634,9,9,18,75034
2004-6,6630,10,10,17,75174
2004-6,6639,11,11,14,75709
2004-6,6643,12,12,25,75861
2004-6,6642,13,13,22,76101
2004-6,6640,14,14,19,76332
2004-6,6645,15,15,15,76385
2004-6,6644,16,16,15,76431
2004-6,6646,17,17,19,76700
2004-6,6641,18,18,4,77173
2004-6,6648,19,19,12,79467
2004-7,6637,1,1,13,88827
2004-7,6629,2,2,15,89064
2004-7,6638,3,3,15,89127
2004-7,6634,4,4,12,89354
2004-7,6630,5,5,13,89545
2004-7,6636,6,6,13,89555
2004-7,6633,7,7,14,89955
2004-7,6632,8,8,9,90176
2004-7,6644,9,9,14,90277
2004-7,6643,10,10,16,90316
2004-7,6639,11,11,13,90519
2004-7,6641,12,12,18,90867
2004-7,6635,13,13,11,90986
2004-7,6642,14,14,15,91061
2004-7,6640,15,15,11,91504
2004-7,6645,16,16,12,91956
