id,name,fullName,previousNames,type,placeName,countryId,latitude,longitude
miami,Miami,Miami International Autodrome,,STREET,Miami Gardens,US,25.958056,-80.238889
monaco,Monaco,Circuit de Monaco,,STREET,Monte Carlo,MC,43.734722,7.420556
monsanto,Monsanto,Circuito de Monsanto,,STREET,Lisbon,PT,38.719722,-9.203056
mont-tremblant,Mont-Tremblant,Circuit Mont-Tremblant,,RACE,Mont-Tremblant,CA,46.187707,-74.609936
montjuic,Montjuïc,Circuito de Montjuïc,,STREET,Barcelona,ES,41.366389,2.151667
montreal,Gilles Villeneuve,Circuit Gilles Villeneuve,['Île Notre-Dame Circuit'],STREET,Montreal,CA,45.500578,-73.522461
monza,Monza,Autodromo Nazionale Monza,,RACE,Monza,IT,45.620556,9.289444
mosport,Mosport,Canadian Tire Motorsport Park,"['Mosport Park', 'Mosport International Raceway']",RACE,Bowmanville,CA,44.05,-78.677778
mugello,Mugello,Autodromo Internazionale del Mugello,,RACE,Scarperia e San Piero,IT,43.9975,11.371944
nivelles,Nivelles-Baulers,Nivelles-Baulers,,RACE,Nivelles,BE,50.621111,4.326944
nurburgring,Nürburgring,Nürburgring,,RACE,Nürburg,DE,50.335556,6.9475
paul-ricard,Paul Ricard,Circuit Paul Ricard,,RACE,Le Castellet,FR,43.250556,5.791667
pedralbes,Pedralbes,Pedralbes Circuit,,STREET,Barcelona,ES,41.390278,2.116667
pescara,Pescara,Pescara Circuit,,ROAD,Pescara,IT,42.475,14.150833
phoenix,Phoenix,Phoenix Street Circuit,,STREET,Phoenix,US,33.447917,-112.074583
portimao,Portimão,Algarve International Circuit,,RACE,Portimão,PT,37.221944,-8.629444
porto,Boavista,Circuito da Boavista,,STREET,Porto,PT,41.170472,-8.67325
reims,Reims-Gueux,Reims-Gueux,,ROAD,Reims,FR,49.254075,3.930561
riverside,Riverside,Riverside International Raceway,,RACE,Riverside,US,33.937,-117.272556
rouen,Rouen-Les-Essarts,Rouen-Les-Essarts,,ROAD,Rouen,FR,49.330639,1.004583
sebring,Sebring,Sebring International Raceway,,ROAD,Sebring,US,27.454741,-81.348267
sepang,Sepang,Sepang International Circuit,,RACE,Sepang,MY,2.760556,101.7375
shanghai,Shanghai,Shanghai International Circuit,,RACE,Shanghai,CN,31.338889,121.219722
silverstone,Silverstone,Silverstone Circuit,,RACE,Silverstone,GB,52.078611,-1.016944
sochi,Sochi,Sochi Autodrom,"['Sochi International Street Circuit', 'Sochi Olympic Park Circuit']",ROAD,Sochi,RU,43.410278,39.968271
spa-francorchamps,Spa-Francorchamps,Circuit de Spa-Francorchamps,,RACE,Spa,BE,50.437222,5.971389
spielberg,Red Bull Ring,Red Bull Ring,"['Österreichring', 'A1-Ring']",RACE,Spielberg,AT,47.219722,14.764722
suzuka,Suzuka,Suzuka Circuit,,RACE,Suzuka,JP,34.843056,136.540556
valencia,Valencia,Valencia Street Circuit,,STREET,Valencia,ES,39.458778,-0.325556
watkins-glen,Watkins Glen,Watkins Glen International,,RACE,Watkins Glen,US,42.336944,-76.927222
yas-marina,Yas Marina,Yas Marina Circuit,,RACE,Abu Dhabi,AE,24.467222,54.603056
yeongam,Korea,Korea International Circuit,,RACE,Yeongam,KR,34.733333,126.416667
zandvoort,Zandvoort,Circuit Park Zandvoort,,RACE,Zandvoort,NL,52.388819,4.540922
zeltweg,Zeltweg,Zeltweg,,ROAD,Zeltweg,AT,47.202222,14.742222
zolder,Zolder,Circuit Zolder,,RACE,Heusden-Zolder,BE,50.988889,5.255556
