id,grandPrixId,name,qualyFormat,circuitId,scheduledLaps,posterURL
1956-06,great-britain,1956 RAC British Grand Prix,TWO_SESSION,silverstone,101,https://www.progcovers.com/motor/silver-56.JPG
1956-07,germany,Grosser Preis von Deutschland 1956,TWO_SESSION,nurburgring,22,https://www.progcovers.com/motor/nurburgring560805.jpg
1956-08,italy,Gran Premio d'Italia 1956,TWO_SESSION,monza,50,https://www.progcovers.com/motor/monza5609022.jpg
1957-01,argentina,Gran Premio de Argentina 1957,TWO_SESSION,buenos-aires,100,
1957-02,monaco,Grand Prix de Monaco 1957,TWO_SESSION,monaco,105,https://www.progcovers.com/motor/monaco570519.jpg
1957-03,indianapolis,1957 Indianapolis 500,FOUR_LAPS,indianapolis,200,https://www.progcovers.com/motor/indianapolis57.jpg
1957-04,france,Grand Prix de France 1957,TWO_SESSION,rouen,77,https://www.progcovers.com/motor/rouen570707.jpg
1957-05,great-britain,1957 RAC British Grand Prix,TWO_SESSION,aintree,90,https://www.progcovers.com/motor/aintree57.jpg
1957-06,germany,Grosser Preis von Deutschland 1957,TWO_SESSION,nurburgring,22,https://www.progcovers.com/motor/nurburgring570804.jpg
1957-07,pescara,Gran Premio di Pescara 1957,TWO_SESSION,pescara,18,
1957-08,italy,Gran Premio d'Italia 1957,TWO_SESSION,monza,87,https://www.progcovers.com/motor/monza5709082.jpg
1958-01,argentina,Gran Premio de Argentina 1958,TWO_SESSION,buenos-aires,80,https://www.progcovers.com/motor/monaco580518.jpg
1958-02,monaco,Grand Prix de Monaco 1958,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/zandvoort580526.jpg
1958-03,netherlands,Grote Prijs van Nederland 1958,TWO_SESSION,zandvoort,75,https://www.progcovers.com/motor/indianapolis58.jpg
1958-04,indianapolis,1958 Indianapolis 500,FOUR_LAPS,indianapolis,200,https://www.progcovers.com/motor/spa150658.jpg
1958-05,belgium,1958 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,24,https://www.progcovers.com/motor/reims580706.jpg
1958-06,france,Grand Prix de France 1958,TWO_SESSION,reims,50,https://www.progcovers.com/motor/silverstone5807192.jpg
1958-07,great-britain,1958 RAC British Grand Prix,TWO_SESSION,silverstone,75,https://www.progcovers.com/motor/nurburgring580803.jpg
1958-08,germany,Grosser Preis von Deutschland 1958,TWO_SESSION,nurburgring,15,https://www.progcovers.com/motor/porto580824.jpg
1958-09,portugal,Grande Pr̩mio de Portugal 1958,TWO_SESSION,porto,50,https://www.progcovers.com/motor/monza580907.jpg
1958-10,italy,Gran Premio d'Italia 1958,TWO_SESSION,monza,70,https://www.progcovers.com/motor/aindiab581019.jpg
1958-11,morocco,1958 Morocco Grand Prix,TWO_SESSION,ain-diab,53,
1959-01,monaco,Grand Prix de Monaco 1959,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/monaco2.jpg
1959-02,indianapolis,1959 Indianapolis 500,FOUR_LAPS,indianapolis,200,https://www.progcovers.com/motor/indianapolis59.jpg
1959-03,netherlands,Grote Prijs van Nederland 1959,TWO_SESSION,zandvoort,75,https://www.progcovers.com/motor/zandvoort590531.jpg
1959-04,france,Grand Prix de France 1959,TWO_SESSION,reims,50,https://www.progcovers.com/motor/reims59.jpg
1959-05,great-britain,1959 RAC British Grand Prix,TWO_SESSION,aintree,75,https://www.progcovers.com/motor/aintree590718.jpg
1959-06,germany,Grosser Preis von Deutschland 1959,TWO_SESSION,avus,60,https://www.progcovers.com/motor/avus590802.jpg
1959-07,portugal,Grande Pr̩mio de Portugal 1959,TWO_SESSION,monsanto,62,https://www.progcovers.com/motor/monsanto590823.jpg
1959-08,italy,Gran Premio d'Italia 1959,TWO_SESSION,monza,72,https://www.progcovers.com/motor/monza5909132.jpg
1959-09,united-states,1959 United States Grand Prix,TWO_SESSION,sebring,42,https://www.progcovers.com/motor/sebring591212.jpg
1960-01,argentina,Gran Premio de Argentina 1960,TWO_SESSION,buenos-aires,80,https://www.progcovers.com/motor/monaco600529.jpg
1960-02,monaco,Grand Prix de Monaco 1960,TWO_SESSION,monaco,100,https://www.progcovers.com/motor/indianapolis600530.jpg
1960-03,indianapolis,1960 Indianapolis 500,FOUR_LAPS,indianapolis,200,https://www.progcovers.com/motor/zandvoort600606.jpg
1960-04,netherlands,Grote Prijs van Nederland 1960,TWO_SESSION,zandvoort,75,https://www.progcovers.com/motor/spa600619.jpg
1960-05,belgium,1960 Belgian Grand Prix,TWO_SESSION,spa-francorchamps,36,https://www.progcovers.com/motor/reims60.jpg
1960-06,france,Grand Prix de France 1960,TWO_SESSION,reims,50,https://www.progcovers.com/motor/silverstone600716.jpg
1960-07,great-britain,1960 RAC British Grand Prix,TWO_SESSION,silverstone,77,https://www.progcovers.com/motor/oporto60.jpg
1960-08,portugal,Grande Pr̩mio de Portugal 1960,TWO_SESSION,porto,55,https://www.progcovers.com/motor/monza6009042.jpg
1960-09,italy,Gran Premio d'Italia 1960,TWO_SESSION,monza,50,https://www.progcovers.com/motor/riverside601120.jpg
1960-10,united-states,1960 United States Grand Prix,TWO_SESSION,riverside,75,
