id,eventId,abbreviation,startDateTime
1998-08-FP1,1998-08,FP1,
1998-09-FP1,1998-09,FP1,
1998-10-FP1,1998-10,FP1,
1998-11-FP1,1998-11,FP1,
1998-12-FP1,1998-12,FP1,
1998-13-FP1,1998-13,FP1,
1998-14-FP1,1998-14,FP1,
1998-15-FP1,1998-15,FP1,
1998-16-FP1,1998-16,FP1,
1999-01-FP1,1999-01,FP1,
1999-02-FP1,1999-02,FP1,
1999-03-FP1,1999-03,FP1,
1999-04-FP1,1999-04,FP1,
1999-05-FP1,1999-05,FP1,
1999-06-FP1,1999-06,FP1,
1999-07-FP1,1999-07,FP1,
1999-08-FP1,1999-08,FP1,
1999-09-FP1,1999-09,FP1,
1999-10-FP1,1999-10,FP1,
1999-11-FP1,1999-11,FP1,
1999-12-FP1,1999-12,FP1,
1999-13-FP1,1999-13,FP1,
1999-14-FP1,1999-14,FP1,
1999-15-FP1,1999-15,FP1,
1999-16-FP1,1999-16,FP1,
2000-01-FP1,2000-01,FP1,
2000-02-FP1,2000-02,FP1,
2000-03-FP1,2000-03,FP1,
2000-04-FP1,2000-04,FP1,
2000-05-FP1,2000-05,FP1,
2000-06-FP1,2000-06,FP1,
2000-07-FP1,2000-07,FP1,
2000-08-FP1,2000-08,FP1,
2000-09-FP1,2000-09,FP1,
2000-10-FP1,2000-10,FP1,
2000-11-FP1,2000-11,FP1,
2000-12-FP1,2000-12,FP1,
2000-13-FP1,2000-13,FP1,
2000-14-FP1,2000-14,FP1,
2000-15-FP1,2000-15,FP1,
2000-16-FP1,2000-16,FP1,
2000-17-FP1,2000-17,FP1,
2001-01-FP1,2001-01,FP1,
2001-02-FP1,2001-02,FP1,
2001-03-FP1,2001-03,FP1,
2001-04-FP1,2001-04,FP1,
2001-05-FP1,2001-05,FP1,
2001-06-FP1,2001-06,FP1,
2001-07-FP1,2001-07,FP1,
2001-08-FP1,2001-08,FP1,
2001-09-FP1,2001-09,FP1,
2001-10-FP1,2001-10,FP1,
2001-11-FP1,2001-11,FP1,
2001-12-FP1,2001-12,FP1,
2001-13-FP1,2001-13,FP1,
2001-14-FP1,2001-14,FP1,
2001-15-FP1,2001-15,FP1,
2001-16-FP1,2001-16,FP1,
2001-17-FP1,2001-17,FP1,
2002-01-FP1,2002-01,FP1,
2002-02-FP1,2002-02,FP1,
2002-03-FP1,2002-03,FP1,
2002-04-FP1,2002-04,FP1,
2002-05-FP1,2002-05,FP1,
2002-06-FP1,2002-06,FP1,
2002-07-FP1,2002-07,FP1,
2002-08-FP1,2002-08,FP1,
2002-09-FP1,2002-09,FP1,
2002-10-FP1,2002-10,FP1,
2002-11-FP1,2002-11,FP1,
2002-12-FP1,2002-12,FP1,
2002-13-FP1,2002-13,FP1,
2002-14-FP1,2002-14,FP1,
2002-15-FP1,2002-15,FP1,
2002-16-FP1,2002-16,FP1,
2002-17-FP1,2002-17,FP1,
2003-01-FP1,2003-01,FP1,
2003-02-FP1,2003-02,FP1,
2003-03-FP1,2003-03,FP1,
2003-04-FP1,2003-04,FP1,
2003-05-FP1,2003-05,FP1,
2003-06-FP1,2003-06,FP1,
2003-07-FP1,2003-07,FP1,
2003-08-FP1,2003-08,FP1,
2003-09-FP1,2003-09,FP1,
2003-10-FP1,2003-10,FP1,
2003-11-FP1,2003-11,FP1,
2003-12-FP1,2003-12,FP1,
2003-13-FP1,2003-13,FP1,
2003-14-FP1,2003-14,FP1,
2003-15-FP1,2003-15,FP1,
2003-16-FP1,2003-16,FP1,
2004-01-FP1,2004-01,FP1,
2004-02-FP1,2004-02,FP1,
2004-03-FP1,2004-03,FP1,
2004-04-FP1,2004-04,FP1,
2004-05-FP1,2004-05,FP1,
2004-06-FP1,2004-06,FP1,
2004-07-FP1,2004-07,FP1,
2004-08-FP1,2004-08,FP1,
2004-09-FP1,2004-09,FP1,
2004-10-FP1,2004-10,FP1,
2004-11-FP1,2004-11,FP1,
2004-12-FP1,2004-12,FP1,
2004-13-FP1,2004-13,FP1,
2004-14-FP1,2004-14,FP1,
2004-15-FP1,2004-15,FP1,
2004-16-FP1,2004-16,FP1,
2004-17-FP1,2004-17,FP1,
2004-18-FP1,2004-18,FP1,
2005-01-FP1,2005-01,FP1,
2005-02-FP1,2005-02,FP1,
2005-03-FP1,2005-03,FP1,
2005-04-FP1,2005-04,FP1,
2005-05-FP1,2005-05,FP1,
2005-06-FP1,2005-06,FP1,
2005-07-FP1,2005-07,FP1,
2005-08-FP1,2005-08,FP1,
2005-09-FP1,2005-09,FP1,
2005-10-FP1,2005-10,FP1,
2005-11-FP1,2005-11,FP1,
2005-12-FP1,2005-12,FP1,
2005-13-FP1,2005-13,FP1,
2005-14-FP1,2005-14,FP1,
2005-15-FP1,2005-15,FP1,
2005-16-FP1,2005-16,FP1,
2005-17-FP1,2005-17,FP1,
2005-18-FP1,2005-18,FP1,
2005-19-FP1,2005-19,FP1,
2006-01-FP1,2006-01,FP1,
2006-02-FP1,2006-02,FP1,
2006-03-FP1,2006-03,FP1,
2006-04-FP1,2006-04,FP1,
2006-05-FP1,2006-05,FP1,
2006-06-FP1,2006-06,FP1,
2006-07-FP1,2006-07,FP1,
2006-08-FP1,2006-08,FP1,
2006-09-FP1,2006-09,FP1,
2006-10-FP1,2006-10,FP1,
2006-11-FP1,2006-11,FP1,
2006-12-FP1,2006-12,FP1,
2006-13-FP1,2006-13,FP1,
2006-14-FP1,2006-14,FP1,
2006-15-FP1,2006-15,FP1,
2006-16-FP1,2006-16,FP1,
2006-17-FP1,2006-17,FP1,
2006-18-FP1,2006-18,FP1,
2007-01-FP1,2007-01,FP1,
2007-02-FP1,2007-02,FP1,
2007-03-FP1,2007-03,FP1,
2007-04-FP1,2007-04,FP1,
2007-05-FP1,2007-05,FP1,
2007-06-FP1,2007-06,FP1,
2007-07-FP1,2007-07,FP1,
2007-08-FP1,2007-08,FP1,
2007-09-FP1,2007-09,FP1,
2007-10-FP1,2007-10,FP1,
2007-11-FP1,2007-11,FP1,
2007-12-FP1,2007-12,FP1,
2007-13-FP1,2007-13,FP1,
2007-14-FP1,2007-14,FP1,
2007-15-FP1,2007-15,FP1,
2007-16-FP1,2007-16,FP1,
2007-17-FP1,2007-17,FP1,
2008-01-FP1,2008-01,FP1,
2008-02-FP1,2008-02,FP1,
2008-03-FP1,2008-03,FP1,
2008-04-FP1,2008-04,FP1,
2008-05-FP1,2008-05,FP1,
2008-06-FP1,2008-06,FP1,
2008-07-FP1,2008-07,FP1,
2008-08-FP1,2008-08,FP1,
2008-09-FP1,2008-09,FP1,
2008-10-FP1,2008-10,FP1,
2008-11-FP1,2008-11,FP1,
2008-12-FP1,2008-12,FP1,
2008-13-FP1,2008-13,FP1,
2008-14-FP1,2008-14,FP1,
2008-15-FP1,2008-15,FP1,
2008-16-FP1,2008-16,FP1,
2008-17-FP1,2008-17,FP1,
2008-18-FP1,2008-18,FP1,
2009-01-FP1,2009-01,FP1,
2009-02-FP1,2009-02,FP1,
2009-03-FP1,2009-03,FP1,
2009-04-FP1,2009-04,FP1,
2009-05-FP1,2009-05,FP1,
2009-06-FP1,2009-06,FP1,
2009-07-FP1,2009-07,FP1,
2009-08-FP1,2009-08,FP1,
2009-09-FP1,2009-09,FP1,
2009-10-FP1,2009-10,FP1,
2009-11-FP1,2009-11,FP1,
2009-12-FP1,2009-12,FP1,
2009-13-FP1,2009-13,FP1,
2009-14-FP1,2009-14,FP1,
2009-15-FP1,2009-15,FP1,
2009-16-FP1,2009-16,FP1,
2009-17-FP1,2009-17,FP1,
2010-01-FP1,2010-01,FP1,
2010-02-FP1,2010-02,FP1,
2010-03-FP1,2010-03,FP1,
