id,name,fullName,countryId,founder,yearFounded
kuchen,Küchen,Küchen,DE,,
kurtis,Kurtis,Kurtis Kraft,US,Frank Kurtis,
kuzma,Kuzma,Kuzma,US,,
lamborghini,Lamborghini,Lamborghini,IT,,
lancia,Lancia,Lancia,IT,,
langley,Langley,Langley,US,,
larrousse,Larrousse,Larrousse F1,FR,,
lds,LDS,LDS,ZA,,
lea-francis,Lea Francis,Lea Francis,GB,,
lec,LEC,LEC Refrigeration Racing,GB,,
lesovsky,Lesovsky,Lesovsky,US,,
leyton-house,Leyton House,Leyton House Racing,GB,,
life,Life,Life Racing Engines,IT,,
ligier,Ligier,Equipe Ligier,FR,,
lola,Lola,Lola Cars,GB,,
lotus,Lotus,Team Lotus,GB,,
lotus-f1,Lotus,Lotus F1 Team,GB,,
lotus-racing,Lotus Racing,Lotus Racing,MY,,
lyncar,Lyncar,Lyncar,GB,,
maki,Maki,Maki Engineering,JP,,
manor,Manor,Manor Racing,GB,,
march,March,March Engineering,GB,,
marchese,Marchese,Marchese,US,,
martini,Martini,Automobiles Martini,FR,,
marussia,Marussia,Marussia F1 Team,GB,,
maserati,Maserati,Maserati,IT,,
matra,Matra,Equipe Matra Sports,FR,,
mcguire,McGuire,McGuire,AU,,
mclaren,McLaren,McLaren Racing,GB,,
mecachrome,Mecachrome,Mecachrome,FR,,
megatron,Megatron,Megatron,DE,,
mercedes,Mercedes,Mercedes AMG F1,DE,,
merzario,Merzario,Team Merzario,IT,,
meskowski,Meskowski,Meskowski,US,,
middlebridge,Middlebridge,Middlebridge-Trussardi,GB,,
midland,Midland,Midland F1 Racing,RU,,
milano,Milano,Milano,IT,,
minardi,Minardi,Minardi F1 Team,IT,,
modena,Modena,Modena Team,IT,,
moore,Moore,Moore,US,,
motori-moderni,Motori Moderni,Motori Moderni,IT,,
mugen-honda,Mugen-Honda,Mugen-Honda,JP,,
nacke,Nacke,Nacke,DE,,
nichels,Nichels,Nichels,US,,
novi,Novi,Novi,US,,
offenhauser,Offenhauser,Offenhauser,US,,
olson,Olson,Olson,US,,
onyx,Onyx,Onyx Grand Prix,GB,,
osca,O.S.C.A.,Officine Specializzate Costruzione Automobili,IT,,
osella,Osella,Osella Squadra Corse,IT,,
pacific,Pacific,Pacific Racing,GB,,
pankratz,Pankratz,Pankratz,US,,
parnelli,Parnelli,Vel's Parnelli Jones Racing,US,,
pawl,Pawl,Pawl,US,,
penske,Penske,Team Penske,US,,
petronas,Petronas,Petronas,MY,,
peugeot,Peugeot,Peugeot,FR,,
phillips,Phillips,Phillips,US,,
plate,Platé,Platé,IT,,
playlife,Playlife,Playlife,IT,,
politoys,Politoys,Politoys,GB,,
porsche,Porsche,Porsche,DE,,
pratt-whitney,Pratt & Whitney,Pratt & Whitney,US,,
prost,Prost,Prost Grand Prix,FR,,
protos,Protos,Protos,GB,,
racing-point,Racing Point,Racing Point F1 Team,GB,,
rae,Rae,Rae,US,,
ram,RAM,RAM Racing,GB,,
rebaque,Rebaque,Team Rebaque,MX,,
red-bull,Red Bull,Red Bull Racing,AT,,
red-bull-powertrains,RBPT,Red Bull Powertrains,AT,,
renault,Renault,Renault Sport Formula One Team,FR,,
repco,Repco,Repco,AU,,
rial,Rial,Rial Racing,DE,,
sauber,Sauber,Sauber F1 Team,CH,Peter Sauber,1970
scarab,Scarab,Scarab,US,,
schroeder,Schroeder,Schroeder,US,,
scirocco,Scirocco,Scirocco-Powell,GB,,
serenissima,Serenissima,Serenissima,IT,,
shadow,Shadow,Shadow Racing Cars,GB,,
shannon,Shannon,Shannon Racing Cars,GB,,
sherman,Sherman,Sherman,US,,
simca-gordini,Simca-Gordini,Simca-Gordini,FR,,
simtek,Simtek,Simtek,GB,,
snowberger,Snowberger,Snowberger,US,,
spirit,Spirit,Spirit Racing,GB,,
spyker,Spyker,Spyker F1 Team,NL,,
stebro,Stebro,Stebro,CA,,
stevens,Stevens,Stevens,US,,
stewart,Stewart,Stewart Grand Prix,GB,,
subaru,Subaru,Subaru,JP,,
super-aguri,Super Aguri,Super Aguri F1 Team,JP,,
supertec,Supertec,Supertec,NL,,
surtees,Surtees,Surtees Racing Organisation,GB,,
sutton,Sutton,Sutton,US,,
tag,TAG,Techniques d'Avant Garde,LU,Akram Ojjeh,1977
tag-heuer,TAG Heuer,TAG Heuer,CH,,
talbot-lago,Talbot-Lago,Talbot-Lago,FR,,
tec-mec,Tec-Mec,Studio Tecnica Meccanica,US,,
tecno,Tecno,Tecno Racing Team,IT,,
theodore,Theodore,Theodore Racing,HK,,
token,Token,Token Racing,GB,,
toleman,Toleman,Toleman Motorsport,GB,,
toro-rosso,Toro Rosso,Scuderia Toro Rosso,IT,,
toyota,Toyota,Toyota Racing,JP,Kiichiro Toyoda,1937
trevis,Trevis,Trevis,US,,
trojan,Trojan,Trojan-Tauranac Racing,GB,,
turner,Turner,Turner,US,,
tyrrell,Tyrrell,Tyrrell Racing,GB,,
vanwall,Vanwall,Vanwall,GB,,
venturi,Venturi,Venturi Automobiles,FR,,
veritas,Veritas,Veritas,DE,,
virgin,Virgin,Virgin Racing,GB,,
watson,Watson,Watson,US,,
weslake,Weslake,Weslake,GB,,
wetteroth,Wetteroth,Wetteroth,US,,
williams,Williams,Williams Grand Prix Engineering,GB,,
wolf,Wolf,Walter Wolf Racing,CA,,
wolf-williams,Wolf-Williams,Wolf-Williams Racing,GB,,
yamaha,Yamaha,Yamaha,JP,,
zakspeed,Zakspeed,Zakspeed Racing,DE,,
