entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
1947,1,1,13249200,6,,200,8,1,8,,,
1954,2,2,13272477,3,,200,6,1,6,23277,,
1946,3,3,13299840,1,,200,5,1,5,50640,,
1945,4,4,13356290,15,,200,3,1,3,"01:47,09",,
1998,5,5,13375639,16,,200,2,1,2,"02:06,44",,
1959,6,6,13446179,11,,200,0,1,0,"03:16,98",,
1961,7,7,13499120,12,,200,0,1,0,"04:09,92",,
1956,8,8,13499730,8,,200,0,1,0,"04:10,53",,
1962,9,9,13500240,27,,200,0,1,0,"04:11,04",,
1952,10,10,13503679,17,,200,0,1,0,"04:14,48",,
1993,11,11,13591679,9,,200,0,1,0,"05:42,48",,
1986,12,12,13618929,7,,200,0,1,0,"06:09,73",,
1994,13,13,13649599,23,,200,0,1,0,"06:40,40",,
1981,14,14,13650740,13,,200,0,1,0,"06:41,54",,
1983,15,15,13749059,21,,200,0,1,0,"08:19,86",,
1977,16,16,13950889,33,,200,0,1,0,"11:41,69",,
1966,17,17,,2,,182,0,1,0,,,Spun off
1975,18,18,,28,,163,0,1,0,,,Engine
1979,19,19,,18,,162,0,1,0,,,Accident
1985,20,20,,4,,150,0,1,0,,,Fire
1958,21,21,,30,,147,0,1,0,,,Magneto
1953,22,22,,25,,136,0,1,0,,,Magneto
1970,23,23,,32,,115,0,1,0,,,Accident
1951,24,24,,10,,112,0,1,0,,,Suspension
1980,25,25,,24,,109,0,1,0,,,Engine
1969,26,26,,5,,85,0,1,0,,,Magneto
1957,27,27,,14,,47,0,1,0,,,Fuel leak
1968,28,28,,29,,45,0,1,0,,,Accident
1949,29,29,,19,,45,0,1,0,,,Accident
1987,30,30,,31,,45,0,1,0,,,Accident
1992,31,31,,26,,45,0,1,0,,,Accident
1950,32,32,,22,,34,0,1,0,,,Accident
1948,33,33,,20,,1,0,1,0,,,Engine
