entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5414,1,1,6109960,3,,78,9,1,9,,,
5413,2,2,6113380,2,,78,6,1,6,3420,,
5388,3,3,6132070,9,,78,4,1,4,22110,,
5385,4,4,6137840,8,,78,3,1,3,27880,,
5386,5,5,6176930,11,,78,2,0,2,"01:06,97",,
5389,6,6,,4,,77,1,1,1,+1 lap,,
5411,7,7,,12,,77,0,1,0,+1 lap,,
5401,8,8,,13,,77,0,1,0,+1 lap,,
5407,9,9,,22,,76,0,1,0,+2 laps,,
5392,10,10,,17,,75,0,1,0,+3 laps,,
5408,11,11,,16,,75,0,1,0,+3 laps,,
5409,12,12,,20,,74,0,1,0,+4 laps,,
5415,13,13,,18,,74,0,1,0,+4 laps,,
5410,14,14,,23,,71,0,1,0,,,Engine
5398,15,DNF,,10,,67,0,1,0,,,Tyre
5406,16,DNF,,19,,63,0,1,0,,,Suspension
5391,17,DNF,,14,,61,0,1,0,,,Ignition
5393,18,DNF,,24,,57,0,1,0,,,Accident
5397,19,DNF,,1,,47,0,1,0,,,Engine
5405,20,DNF,,6,,45,0,1,0,,,Accident
5387,21,DNF,,7,,25,0,1,0,,,Throttle
5400,22,DNF,,15,,16,0,1,0,,,Accident
5404,23,DNF,,5,,4,0,1,0,,,Accident
5399,24,DNF,,21,,2,0,1,0,,,Accident
