entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,gap,timePenalty,reasonRetired
5423,1,1,6726892,1,,72,9,1,6,,,
5414,2,2,6727972,2,,72,6,0,6,1080,,
5424,3,3,6800548,3,,72,4,1,2,"01:13,66",,
5413,4,4,,9,,71,3,0,0,+1 lap,,
5426,5,5,,6,,71,2,1,2,+1 lap,,
5436,6,6,,17,,70,1,1,1,+2 laps,,
5450,7,7,,19,,68,0,1,0,+4 laps,,
5441,8,8,,15,,67,0,1,0,+5 laps,,
5399,9,9,,21,,67,0,1,0,+5 laps,,
5385,10,10,,10,,66,0,1,0,,,Out of fuel
5451,11,DNF,,4,,61,0,1,0,,,Gearbox
5454,12,DNF,,18,,52,0,1,0,,,Fuel system
5433,13,DNF,,16,,47,0,1,0,,,Gearbox
5427,14,DNF,,13,,33,0,1,0,,,Engine
5453,15,DNF,,24,,28,0,1,0,,,Engine
5446,16,DNF,,22,,26,0,1,0,,,Chassis
5400,17,DNF,,23,,24,0,1,0,,,Ignition
5421,18,DNF,,7,,24,0,1,0,,,Brakes
5386,19,DNF,,11,,23,0,1,0,,,Suspension
5408,20,DNF,,14,,20,0,1,0,,,Spun off
5440,21,DNF,,20,,19,0,1,0,,,Engine
5429,22,DNF,,8,,14,0,1,0,,,Accident
5443,23,DNF,,12,,14,0,1,0,,,Accident
5405,24,DNF,,5,,10,0,1,0,,,Engine
