entrantId,positionOrder,positionText,time,laps
7283,1,1,83740,3
7299,2,2,83920,5
7311,3,3,83969,6
7314,4,4,84013,6
7290,5,5,84078,6
7284,6,6,84116,5
7294,7,7,84131,6
7309,8,8,84207,6
7297,9,9,84213,6
7300,10,10,84278,5
7313,11,11,84359,6
7291,12,12,84391,6
7293,13,13,84422,6
7303,14,14,84439,6
7307,15,15,84442,6
