entrantId,positionOrder,positionText,time,gridPosition,gridPenalty,laps,points,pointsCountForWDC,pointsGained,timePenalty,reasonRetired
7283,1,1,5458421,1,,53,26,1,26,,
7299,2,2,5477808,3,,53,18,1,18,,
7300,3,3,5494915,2,,53,15,1,15,,
7311,4,4,5502419,4,,53,12,1,12,,
7313,5,5,5507797,7,,53,10,1,10,,
7312,6,6,5508642,6,,53,8,1,8,,
7314,7,7,5516080,8,,53,6,1,6,,
7294,8,8,5533146,10,,53,4,1,4,,
7291,9,9,5538099,14,,53,2,1,2,,
7290,10,10,5541576,12,,53,1,1,1,,
7305,11,11,,11,,52,0,1,0,,
7309,12,12,,9,,52,0,1,0,,
7288,13,13,,19,,52,0,1,0,,
7297,14,14,,18,,52,0,1,0,,
7296,15,15,,15,,52,0,1,0,,
7303,16,DNF,,13,,26,0,1,0,,Daños por colisión
7302,17,DNF,,PL,,22,0,1,0,,Daños por colisión
7293,18,DNF,,17,,20,0,1,0,,Alerón
7284,19,DNF,,5,,15,0,1,0,,Retirado*
7287,20,DNF,,16,,7,0,1,0,,Daños por colisión
