entrantId,positionOrder,positionText,time,laps
7283,1,1,102315,22
7311,2,2,102352,21
7284,3,3,102454,22
7312,4,4,102899,23
7299,5,5,103125,22
7306,6,6,103414,24
7293,7,7,103455,23
7294,8,8,103560,20
7303,9,9,103628,25
7288,10,10,103748,23
7313,11,11,103798,21
7300,12,12,103980,23
7287,13,13,104010,23
7309,14,14,104137,18
7297,15,15,104323,21
7302,16,16,104900,16
7314,17,17,105082,20
7291,18,18,105955,8
7290,19,19,106321,7
7296,20,20,107498,8
